
TimeEdit,Université libre de Bruxelles
M-IRPHP:1,17/09/2023 - 31/12/2023,
Date de début,Heure de début,Date de fin,Heure de fin,Cours,Info,Type de réservation,Salle,Niveau 
24/10/2023,10:00,24/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
24/10/2023,14:00,24/10/2023,16:00,MATHH401,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
25/10/2023,08:00,25/10/2023,10:00,PHYSH401,,Exercices,S.UA4.218,M-IRPHP:1
25/10/2023,10:00,25/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
26/10/2023,08:00,26/10/2023,10:00,PHYSH401,,Théorie,S.UB2.147,M-IRPHP:1
26/10/2023,10:00,26/10/2023,12:00,BIMEH407,,Théorie,S.UA4.222,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
26/10/2023,14:00,26/10/2023,18:00,PROJH403,,Projet,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
27/10/2023,08:00,27/10/2023,12:00,PROJH403,,Projet,,M-IRPHP:1
27/10/2023,14:00,27/10/2023,18:00,MATHH401,,Travaux pratiques,,M-IRPHP:1
30/10/2023,08:00,30/10/2023,10:00,BIMEH407,,Théorie,,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
30/10/2023,10:00,30/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
06/11/2023,10:00,06/11/2023,12:00,PHYSH401,,Théorie,S.AY2.112,M-IRPHP:1
06/11/2023,14:00,06/11/2023,16:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
06/11/2023,16:00,06/11/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
07/11/2023,08:00,07/11/2023,10:00,"MATHH401, MATHH507",,Exercices,S.DB.3.241 - Salle Alain Dubus,"M-IRCBS:2 - Electives courses, M-IRPHP:1"
07/11/2023,10:00,07/11/2023,12:00,PHYSH401,,Exercices,S.R42.5.110 - Auditoire BERHEIM (2) (bâtiment R),M-IRPHP:1
07/11/2023,14:00,07/11/2023,16:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
08/11/2023,08:00,08/11/2023,10:00,BIMEH407,,Théorie,E.B1.005 - Séminaire 1,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
08/11/2023,10:00,08/11/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
08/11/2023,14:00,08/11/2023,16:00,MATHH401,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
09/11/2023,08:00,09/11/2023,10:00,"PHYSH514, PHYSH524",,Théorie,S.DC2.206,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
09/11/2023,10:00,09/11/2023,12:00,"PHYSH514, PHYSH524",,Exercices,S.UB4.132,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
09/11/2023,14:00,09/11/2023,16:00,PHYSH401,,Théorie,S.R42.5.110 - Auditoire BERHEIM (2) (bâtiment R),M-IRPHP:1
10/11/2023,10:00,10/11/2023,12:00,"PHYSH514, PHYSH524",,Théorie,S.H1301 - Auditoire CORNIL,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
10/11/2023,14:00,10/11/2023,18:00,MATHH401,,Travaux pratiques,,M-IRPHP:1
13/11/2023,10:00,13/11/2023,12:00,PHYSH401,,Théorie,S.AY2.112,M-IRPHP:1
13/11/2023,14:00,13/11/2023,16:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
13/11/2023,16:00,13/11/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
14/11/2023,08:00,14/11/2023,10:00,"MATHH401, MATHH507",,Exercices,S.DB.3.241 - Salle Alain Dubus,"M-IRCBS:2 - Electives courses, M-IRPHP:1"
14/11/2023,10:00,14/11/2023,12:00,PHYSH401,,Exercices,S.R42.5.110 - Auditoire BERHEIM (2) (bâtiment R),M-IRPHP:1
14/11/2023,14:00,14/11/2023,16:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
15/11/2023,08:00,15/11/2023,10:00,BIMEH407,,Théorie,E.B1.004 - Séminaire 2,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
15/11/2023,10:00,15/11/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
15/11/2023,14:00,15/11/2023,16:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
15/11/2023,16:00,15/11/2023,18:00,MATHH401,,Théorie,S.K.3.401,M-IRPHP:1
16/11/2023,08:00,16/11/2023,10:00,"PHYSH514, PHYSH524",,Théorie,S.DC2.206,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
16/11/2023,10:00,16/11/2023,12:00,"PHYSH514, PHYSH524",,Exercices,S.UB4.132,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
17/11/2023,10:00,17/11/2023,12:00,"PHYSH514, PHYSH524",,Théorie,S.H1301 - Auditoire CORNIL,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
17/11/2023,14:00,17/11/2023,18:00,MATHH401,,Travaux pratiques,,M-IRPHP:1
21/11/2023,08:00,21/11/2023,10:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
21/11/2023,10:00,21/11/2023,12:00,PHYSH401,,Exercices,S.R42.5.110 - Auditoire BERHEIM (2) (bâtiment R),M-IRPHP:1
21/11/2023,14:00,21/11/2023,16:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
22/11/2023,08:00,22/11/2023,10:00,BIMEH407,,Théorie,E.B1.004 - Séminaire 2,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
22/11/2023,10:00,22/11/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
22/11/2023,14:00,22/11/2023,16:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
22/11/2023,16:00,22/11/2023,18:00,MATHH401,,Théorie,S.K.3.401,M-IRPHP:1
23/11/2023,08:00,23/11/2023,10:00,"PHYSH514, PHYSH524",,Théorie,S.DC2.206,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
23/11/2023,10:00,23/11/2023,12:00,"PHYSH514, PHYSH524",,Exercices,S.UB4.132,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
23/11/2023,14:00,23/11/2023,18:00,PROJH403,,Projet,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
24/11/2023,10:00,24/11/2023,12:00,"PHYSH514, PHYSH524",,Théorie,S.H1301 - Auditoire CORNIL,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
24/11/2023,14:00,24/11/2023,18:00,MATHH401,,Travaux pratiques,,M-IRPHP:1
27/11/2023,08:00,27/11/2023,10:00,PHYSH406,,Exercices,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
27/11/2023,14:00,27/11/2023,16:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
27/11/2023,16:00,27/11/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
28/11/2023,08:00,28/11/2023,12:00,PROJH403,,Projet,,M-IRPHP:1
28/11/2023,14:00,28/11/2023,18:00,PROJH403,,Projet,,M-IRPHP:1
29/11/2023,08:00,29/11/2023,10:00,BIMEH407,,Théorie,E.B1.004 - Séminaire 2,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
29/11/2023,10:00,29/11/2023,12:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
29/11/2023,14:00,29/11/2023,16:00,PHYSH401,,Exercices,S.R42.5.110 - Auditoire BERHEIM (2) (bâtiment R),M-IRPHP:1
29/11/2023,16:00,29/11/2023,18:00,MATHH401,,Théorie,S.K.3.401,M-IRPHP:1
30/11/2023,08:00,30/11/2023,10:00,"PHYSH514, PHYSH524",,Théorie,S.DC2.206,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
30/11/2023,10:00,30/11/2023,12:00,"PHYSH514, PHYSH524",,Exercices,S.UB4.132,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
30/11/2023,14:00,30/11/2023,18:00,PROJH403,,Projet,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
01/12/2023,10:00,01/12/2023,12:00,"PHYSH514, PHYSH524",,Théorie,S.H1301 - Auditoire CORNIL,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
01/12/2023,14:00,01/12/2023,18:00,MATHH401,,Travaux pratiques,,M-IRPHP:1
04/12/2023,08:00,04/12/2023,10:00,PHYSH406,,Exercices,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
04/12/2023,10:00,04/12/2023,12:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
04/12/2023,14:00,04/12/2023,16:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
04/12/2023,16:00,04/12/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
05/12/2023,08:00,05/12/2023,12:00,PROJH403,,Projet,,M-IRPHP:1
05/12/2023,14:00,05/12/2023,18:00,PROJH403,,Projet,,M-IRPHP:1
06/12/2023,08:00,06/12/2023,10:00,BIMEH407,,Théorie,E.B1.005 - Séminaire 1,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
06/12/2023,10:00,06/12/2023,12:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
06/12/2023,14:00,06/12/2023,16:00,PHYSH401,,Exercices,S.R42.5.110 - Auditoire BERHEIM (2) (bâtiment R),M-IRPHP:1
06/12/2023,16:00,06/12/2023,18:00,MATHH401,,Théorie,S.K.3.401,M-IRPHP:1
07/12/2023,08:00,07/12/2023,10:00,"PHYSH514, PHYSH524",,Théorie,S.DC2.206,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
07/12/2023,10:00,07/12/2023,12:00,"PHYSH514, PHYSH524",,Exercices,S.UB4.132,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
08/12/2023,10:00,08/12/2023,12:00,"PHYSH514, PHYSH524",,Théorie,S.H1301 - Auditoire CORNIL,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
08/12/2023,14:00,08/12/2023,18:00,PROJH403,,Projet,,M-IRPHP:1
11/12/2023,08:00,11/12/2023,10:00,PHYSH406,,Exercices,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
11/12/2023,10:00,11/12/2023,12:00,PHYSH411,,Théorie,S.AW1.125,M-IRPHP:1
11/12/2023,14:00,11/12/2023,16:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
11/12/2023,16:00,11/12/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
12/12/2023,08:00,12/12/2023,12:00,PROJH403,,Projet,,M-IRPHP:1
12/12/2023,14:00,12/12/2023,18:00,PROJH403,,Projet,,M-IRPHP:1
13/12/2023,08:00,13/12/2023,10:00,BIMEH407,,Théorie,E.B1.004 - Séminaire 2,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
13/12/2023,10:00,13/12/2023,12:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
13/12/2023,14:00,13/12/2023,16:00,PHYSH401,,Exercices,S.K.3.201 - Séminaire Michael Ratner,M-IRPHP:1
13/12/2023,16:00,13/12/2023,18:00,MATHH401,,Théorie,S.K.3.401,M-IRPHP:1
14/12/2023,08:00,14/12/2023,10:00,PHYSH514,,Théorie,S.DC2.206,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
14/12/2023,10:00,14/12/2023,12:00,PHYSH514,,Exercices,S.UB4.132,"M-IREMI:2, M-IREMR-E:2, M-IREMR-M:2, M-IRMAE-M:2, M-IRMAE-P:2, M-IRPHP:1"
15/12/2023,10:00,15/12/2023,12:00,PHYSH514,,Exercices,S.H1301 - Auditoire CORNIL,"M-IREMR-E:2, M-IREMR-M:2, M-IRPHP:1"
19/12/2023,14:00,19/12/2023,16:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
20/12/2023,10:00,20/12/2023,12:00,PHYSH411,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
20/12/2023,16:00,20/12/2023,18:00,MATHH401,,Théorie,S.K.3.401,M-IRPHP:1
